Party,Criminal Case,Total Assets,Liabilities,state,Education
BJP,1,100000000,0,UTTAR PRADESH,Post Graduate
INC,0,640000000,30000000,KARNATAKA,Graduate Professional
BJP,0,6700000,900000,UTTAR PRADESH,12th Pass
BJP,1,270000000,50000000,UTTAR PRADESH,Post Graduate
IND,1,520000000,130000000,MAHARASHTRA,Graduate
INC,0,40000000,0,CHHATTISGARH,Graduate
BJP,0,50000000,10000000,RAJASTHAN,Graduate
BJP,0,2300000,0,ODISHA,12th Pass
BJP,1,110000000,10000000,RAJASTHAN,Post Graduate
BJD,0,10000000,98000,ODISHA,Post Graduate
INC,1,3120000000,170000000,KARNATAKA,12th Pass
AITC,0,10000000,6300000,WEST BENGAL,8th Pass
BJP,0,7200000,0,UTTARAKHAND,12th Pass
DMK,5,9600000,100000,TAMIL NADU,8th Pass
BJP,0,120000000,4700000,HARYANA,Post Graduate
BJP,0,20000000,6300000,GUJARAT,Graduate
BJP,0,220000000,10000000,HARYANA,Graduate Professional
BJD,19,300000000,30000000,ODISHA,Post Graduate
CPI(M),1,9100000,2000000,KERALA,Post Graduate
BJP,0,10000000,800000,RAJASTHAN,Post Graduate
AAP,0,1900000,0,DELHI,Graduate
CPI,1,6100000,1000000,KERALA,Graduate Professional
INC,0,20000000,800000,RAJASTHAN,10th Pass
BJP,0,130000000,8500000,UTTAR PRADESH,Graduate
NCP,1,250000000,9400000,MAHARASHTRA,12th Pass
BJP,0,1100000,0,ARUNACHAL PRADESH,Graduate
SP,0,30000,1600000,ARUNACHAL PRADESH,Graduate
DMK,43,180000000,130000000,TAMIL NADU,Graduate Professional
DMK,6,20000000,900000,TAMIL NADU,Post Graduate
BJP,0,1300000,2200000,MAHARASHTRA,10th Pass
AITC,13,300000000,20000000,MADHYA PRADESH,Graduate Professional
AIADMK,0,20000000,0,TAMIL NADU,Graduate Professional
DMK,3,320000000,0,TAMIL NADU,8th Pass
BJP,1,0,5100000,GUJARAT,12th Pass
BJP,0,2600000,10000000,HARYANA,Graduate
SHS,6,50000000,20000000,MAHARASHTRA,Graduate
IND,0,20000000,2000000,NAGALAND,10th Pass
NPP,4,0,0,BIHAR,Graduate Professional
BJP,1,20000000,170000000,GUJARAT,Graduate Professional
NPP,0,20000000,2700000,KARNATAKA,Graduate Professional
BJP,2,120000000,1200000,BIHAR,Doctorate
DMK,30,5700000,1400000,TAMIL NADU,Post Graduate
YSRCP,0,140000000,10000000,HARYANA,10th Pass
BJP,1,20000000,0,UTTARAKHAND,Graduate Professional
BJP,0,0,0,ARUNACHAL PRADESH,Post Graduate
YSRCP,16,280000000,0,TAMIL NADU,Graduate
BJP,0,6500000,0,MADHYA PRADESH,12th Pass
BJP,0,2800000,1900000,CHHATTISGARH,Graduate
AAP,1,0,7500000,PUNJAB,Graduate Professional
BJD,7,330000000,4500000,ODISHA,Post Graduate
BJP,1,100000000,2900000,TRIPURA,Post Graduate
RJD,4,80000000,2600000,BIHAR,Post Graduate
AAP,0,6700000,1400000,HIMACHAL PRADESH,Graduate Professional
CPI(M),1,900000,0,KERALA,Graduate Professional
AITC,0,10000000,0,WEST BENGAL,10th Pass
BJP,0,20000000,500000,ARUNACHAL PRADESH,Post Graduate
INC,6,20000000,2000000,SIKKIM,Graduate
BJP,0,20000000,0,UTTARAKHAND,10th Pass
BJP,0,140000000,800000,NAGALAND,Post Graduate
YSRCP,0,330000000,8400000,PUNJAB,Graduate
NCP,2,10000000,900000,WEST BENGAL,10th Pass
AITC,2,10000000,0,WEST BENGAL,Post Graduate
BJP,0,360000000,4100000,BIHAR,10th Pass
AAP,4,0,0,PUNJAB,12th Pass
DMK,10,9700000,4300000,TAMIL NADU,Graduate Professional
BJP,3,20000000,100000,ANDHRA PRADESH,Graduate Professional
AAP,1,320000000,4300000,TAMIL NADU,Graduate Professional
DMK,5,20000000,1000000,TAMIL NADU,Graduate Professional
BJP,0,1340000000,4600000,KARNATAKA,10th Pass
BJP,0,30000000,1200000,UTTAR PRADESH,Graduate Professional
INC,0,8700000,0,RAJASTHAN,10th Pass
BJP,0,130000000,1500000,UTTAR PRADESH,Graduate Professional
DMK,7,20000000,4300000,TAMIL NADU,10th Pass
AAP,0,9400000,4400000,HIMACHAL PRADESH,Post Graduate
BJP,18,170000000,200000000,GOA,10th Pass
IND,87,920000000,210000000,TRIPURA,10th Pass
BJP,0,800000,2000000,UTTARAKHAND,Graduate Professional
AITC,1,20000000,0,WEST BENGAL,10th Pass
IND,1,0,0,BIHAR,12th Pass
BJP,0,2200000,200000,RAJASTHAN,Graduate
BJP,9,350000000,500000,HIMACHAL PRADESH,12th Pass
BJP,1,1800000,8500000,ARUNACHAL PRADESH,10th Pass
RJD,0,50000000,0,BIHAR,12th Pass
AAP,0,10000000,4400000,NAGALAND,12th Pass
AAP,1,5600000,0,WEST BENGAL,8th Pass
AITC,2,90000000,0,WEST BENGAL,Graduate
BJP,0,6400000,210000000,ASSAM,8th Pass
BJP,1,900000,360000000,MAHARASHTRA,Graduate Professional
DMK,25,20000000,60000000,TAMIL NADU,Graduate Professional
BJP,0,50000000,10000000,ARUNACHAL PRADESH,Post Graduate
INC,6,90000000,9400000,TAMIL NADU,Graduate Professional
AAP,1,10000000,700000,BIHAR,12th Pass
AAP,1,70000000,4700000,PUNJAB,10th Pass
NCP,1,10000000,30000000,MAHARASHTRA,10th Pass
DMK,22,60000000,900000,TAMIL NADU,Graduate Professional
CPI(M),1,80000000,0,KERALA,Graduate Professional
CPI(M),1,0,0,KERALA,10th Pass
AAP,5,1100000,7200000,BIHAR,10th Pass
AITC,2,200000000,0,WEST BENGAL,12th Pass
JD(S),0,0,1020000000,KARNATAKA,Graduate Professional
BJP,1,0,1900000,UTTAR PRADESH,Graduate Professional
INC,1,0,20000000,KARNATAKA,Post Graduate
DMK,10,150000000,900000,TAMIL NADU,10th Pass
INC,8,720000000,8900000,KARNATAKA,Post Graduate
BJP,0,10000000,200000,ARUNACHAL PRADESH,Graduate Professional
INC,0,20000000,30000000,KARNATAKA,Post Graduate
BJP,0,6800000,84000,KERALA,10th Pass
YSRCP,1,3200000,60000000,KARNATAKA,10th Pass
DMK,1,0,350000000,PUNJAB,Graduate Professional
BJP,0,0,0,GUJARAT,5th Pass
SP,1,8400000,8100000,MAHARASHTRA,10th Pass
DMK,22,110000000,100000000,TAMIL NADU,8th Pass
NPP,1,440000000,20000000,MAHARASHTRA,Graduate Professional
CPI(M),1,20000000,0,KERALA,Graduate Professional
BJD,0,6600000,400000,ODISHA,Graduate
AAP,1,130000000,50000000,DELHI,Others
BJP,0,3600000,10000000,MADHYA PRADESH,Graduate
AITC,1,0,0,WEST BENGAL,Post Graduate
DMK,16,20000000,900000,TAMIL NADU,Post Graduate
BJP,1,310000000,800000,TRIPURA,10th Pass
DMK,5,20000000,80000000,TAMIL NADU,10th Pass
BJP,1,3100000,5300000,MADHYA PRADESH,Graduate Professional
NPP,0,20000000,0,RAJASTHAN,Graduate
AAP,10,40000000,40000000,KARNATAKA,Doctorate
AITC,0,10000000,0,WEST BENGAL,Post Graduate
BJD,0,20000000,4800000,ODISHA,Post Graduate
DMK,24,6400000,1600000,TAMIL NADU,12th Pass
BJP,0,5800000,9900000,MANIPUR,Graduate
BJP,19,0,4300000,TAMIL NADU,10th Pass
IND,3,300000,20000000,PUNJAB,Graduate Professional
DMK,12,20000000,1000000,TAMIL NADU,Graduate Professional
BJP,0,50000000,1900000,MAHARASHTRA,Graduate
DMK,10,0,30000000,TAMIL NADU,10th Pass
INC,1,220000000,7900000,RAJASTHAN,Graduate Professional
YSRCP,0,10000000,0,NAGALAND,12th Pass
BJP,1,50000000,20000000,MAHARASHTRA,10th Pass
INC,1,5300000,3000000,KARNATAKA,Graduate
BJP,0,5600000,3500000,GUJARAT,Graduate Professional
JD(S),0,710000000,130000000,GUJARAT,10th Pass
BJP,0,110000000,3200000,UTTAR PRADESH,10th Pass
BJP,9,2300000,30000000,BIHAR,Graduate
BJP,0,2100000,1600000,WEST BENGAL,10th Pass
BJP,0,20000000,100000,MEGHALAYA,Graduate Professional
BJP,0,410000000,30000000,GUJARAT,Literate
BJP,0,80000000,0,GUJARAT,10th Pass
CPI(M),5,1400000,0,KERALA,Graduate Professional
IND,0,70000000,3800000,GUJARAT,5th Pass
INC,17,1100000000,0,TAMIL NADU,8th Pass
INC,1,510000000,3000000,MAHARASHTRA,Graduate
BJD,0,300000,1900000,CHHATTISGARH,10th Pass
AITC,13,20000000,100000,WEST BENGAL,Post Graduate
IND,25,700000000,4300000,TAMIL NADU,Post Graduate
AAP,0,380000000,5200000,PUNJAB,Graduate Professional
BJP,1,200000000,2100000,KARNATAKA,Post Graduate
BJP,2,40000000,300000,ODISHA,Post Graduate
BJP,1,0,1800000,WEST BENGAL,Graduate Professional
BJP,0,140000000,0,MANIPUR,10th Pass
BJP,0,8900000,3800000,PUNJAB,Graduate
YSRCP,0,0,170000000,MAHARASHTRA,10th Pass
AAP,1,400000000,2500000,KARNATAKA,Graduate Professional
BJP,1,20000000,0,UTTAR PRADESH,Doctorate
CPI(M),1,20000000,0,KERALA,Post Graduate
JD(S),2,70000000,2100000,JHARKHAND,Post Graduate
NPP,0,20000000,0,BIHAR,10th Pass
BJP,18,30000,2700000,RAJASTHAN,10th Pass
BJP,0,20000000,2700000,PUNJAB,Graduate Professional
BJP,0,20000000,700000,BIHAR,12th Pass
JD(U),1,0,30000000,MAHARASHTRA,10th Pass
YSRCP,7,6200000,0,ANDHRA PRADESH,Post Graduate
BJP,0,220000000,20000000,GUJARAT,Literate
INC,1,50000000,0,PUNJAB,10th Pass
AAP,1,10000000,0,BIHAR,12th Pass
BJP,0,5600000,10000000,UTTAR PRADESH,10th Pass
AITC,0,20000000,0,WEST BENGAL,10th Pass
BJP,26,2000000,9400000,PUDUCHERRY,Graduate
BJP,1,0,0,UTTAR PRADESH,Doctorate
BJP,0,70000000,0,CHHATTISGARH,Graduate Professional
YSRCP,1,0,20000000,PUNJAB,12th Pass
CPI(M),1,0,25000,KERALA,Graduate Professional
SHS,3,170000000,20000000,MAHARASHTRA,Graduate Professional
BJP,0,20000000,1500000,CHHATTISGARH,Graduate Professional
BJD,0,20000000,400000,ODISHA,Post Graduate
BJP,0,20000000,10000000,MADHYA PRADESH,10th Pass
AITC,0,8200000,0,WEST BENGAL,12th Pass
AITC,1,20000000,0,WEST BENGAL,10th Pass
BJP,0,1060000000,200000000,MAHARASHTRA,10th Pass
YSRCP,19,4400000,190000000,KARNATAKA,10th Pass
DMK,7,90000000,0,TAMIL NADU,Graduate Professional
DMK,5,20000000,20000000,TAMIL NADU,10th Pass
RJD,0,6100000,500000,TAMIL NADU,Graduate Professional
BJP,1,24000,60000000,PUNJAB,Graduate Professional
INC,0,9200000,1500000,KARNATAKA,Graduate Professional
JD(U),3,7000000,600000,UTTAR PRADESH,Post Graduate
DMK,12,6100000,2400000,TAMIL NADU,Post Graduate
BJP,0,1150000000,9000000,MADHYA PRADESH,10th Pass
AAP,1,70000000,1400000,DELHI,Others
BJP,0,0,7000000,RAJASTHAN,Graduate Professional
BJP,0,1500000,1500000,ARUNACHAL PRADESH,Graduate Professional
INC,0,60000000,100000000,KARNATAKA,Graduate Professional
BJP,29,20000000,100000,UTTARAKHAND,12th Pass
INC,3,130000000,7000000,RAJASTHAN,Graduate Professional
BJP,0,5500000,5900000,HIMACHAL PRADESH,Graduate
BJP,1,80000000,30000000,MAHARASHTRA,12th Pass
AAP,0,10000000,0,CHHATTISGARH,12th Pass
BJP,0,80000000,200000,ARUNACHAL PRADESH,Graduate Professional
YSRCP,19,350000000,7900000,MAHARASHTRA,Graduate
BJP,0,20000000,400000,UTTAR PRADESH,Graduate Professional
BJP,1,70000000,40000000,MADHYA PRADESH,Graduate Professional
NCP,1,410000000,80000,MAHARASHTRA,10th Pass
SHS,3,20000000,800000,MAHARASHTRA,10th Pass
BJP,1,2400000,60000000,KARNATAKA,10th Pass
INC,18,310000000,1020000000,MAHARASHTRA,10th Pass
BJP,0,5100000,1300000,MEGHALAYA,Graduate
INC,3,4900000,6800000,MADHYA PRADESH,10th Pass
BJP,0,100000000,10000000,TRIPURA,Post Graduate
INC,0,800000,1500000,ANDHRA PRADESH,10th Pass
BJP,0,160000000,0,UTTARAKHAND,Graduate
BJP,2,20000000,0,UTTAR PRADESH,10th Pass
JD(U),1,20000000,0,BIHAR,12th Pass
BJP,3,800000,0,PUNJAB,Graduate Professional
AITC,1,410000000,20000000,MADHYA PRADESH,Post Graduate
AAP,1,10000000,6000000,DELHI,Graduate Professional
BJP,0,10000000,50000000,WEST BENGAL,10th Pass
JD(U),0,20000000,200000,ARUNACHAL PRADESH,12th Pass
BJP,12,5800000,6700000,TRIPURA,8th Pass
BJD,0,20000000,0,ODISHA,Post Graduate
CPI,1,7700000,0,ANDHRA PRADESH,12th Pass
BJP,1,540000000,9100000,PUNJAB,Graduate Professional
AAP,1,300000000,4000000,BIHAR,Graduate Professional
SHS,0,120000000,40000000,UTTAR PRADESH,Graduate
BJP,0,0,0,MANIPUR,Post Graduate
DMK,6,30000000,0,TAMIL NADU,8th Pass
DMK,23,0,3100000,TAMIL NADU,Graduate
BJP,0,20000000,1700000,RAJASTHAN,Graduate Professional
AAP,1,20000000,2700000,DELHI,Graduate
INC,0,20000000,1000000,PUNJAB,Graduate Professional
BJP,0,20000000,1600000,PUDUCHERRY,12th Pass
BJP,0,4900000,1500000,BIHAR,8th Pass
DMK,17,40000000,10000000,TAMIL NADU,8th Pass
BJP,8,340000000,1500000,RAJASTHAN,5th Pass
AITC,0,2900000,3100000,MAHARASHTRA,Graduate Professional
SP,0,40000000,150000000,UTTAR PRADESH,Graduate
BJP,3,90000000,30000000,MAHARASHTRA,10th Pass
BJP,1,4000000,600000,UTTAR PRADESH,Graduate Professional
BJP,1,0,20000000,PUDUCHERRY,Post Graduate
INC,8,0,0,KERALA,Graduate Professional
CPI(M),3,1900000,60000000,KERALA,Graduate
BJP,0,20000000,600000,ASSAM,Graduate Professional
BJP,1,5000000,170000000,MEGHALAYA,Graduate Professional
AITC,0,20000000,400000,WEST BENGAL,10th Pass
BJP,0,100000000,400000,GUJARAT,5th Pass
BJP,0,20000000,10000000,MADHYA PRADESH,10th Pass
RJD,4,5000000,0,BIHAR,Graduate Professional
AIADMK,13,20000000,2400000,TAMIL NADU,10th Pass
JMM,1,0,5300000,JHARKHAND,10th Pass
BJP,0,1400000,10000000,CHHATTISGARH,10th Pass
DMK,16,3400000,0,TAMIL NADU,Graduate Professional
YSRCP,0,11560000000,5600000,KARNATAKA,12th Pass
INC,0,30000000,500000,MANIPUR,12th Pass
AAP,5,20000000,0,UTTAR PRADESH,Graduate
BJP,0,110000000,200000,MADHYA PRADESH,Graduate
BJP,1,1100000,0,PUNJAB,Graduate
DMK,6,170000000,1700000,TAMIL NADU,10th Pass
BJP,1,40000000,40000000,KARNATAKA,Graduate Professional
SP,0,20000000,0,UTTAR PRADESH,12th Pass
INC,0,90000000,170000000,CHHATTISGARH,10th Pass
DMK,52,5000000,1000000,TAMIL NADU,Post Graduate
SP,29,10000000,140000000,KARNATAKA,Graduate Professional
BJP,5,0,1900000,TRIPURA,Others
JD(S),3,440000000,2400000,MAHARASHTRA,Graduate Professional
BJP,3,6400000,200000000,RAJASTHAN,Graduate Professional
INC,1,110000000,10000000,GUJARAT,Graduate
BJP,9,0,0,BIHAR,8th Pass
BJD,1,20000000,0,ODISHA,Post Graduate
DMK,38,10000000,0,TAMIL NADU,Graduate Professional
YSRCP,0,80000000,1500000,ANDHRA PRADESH,10th Pass
DMK,17,530000000,6700000,TAMIL NADU,8th Pass
NPP,0,0,2200000,PUNJAB,Post Graduate
YSRCP,0,180000000,0,ANDHRA PRADESH,Graduate
JD(U),0,20000000,50000000,ANDHRA PRADESH,10th Pass
IND,0,20000000,2400000,GUJARAT,Graduate
BJD,0,180000000,140000000,MADHYA PRADESH,Post Graduate
BJP,0,10000000,0,HARYANA,Graduate Professional
BJP,1,4100000,70000000,PUDUCHERRY,8th Pass
YSRCP,6,20000000,1200000,CHHATTISGARH,12th Pass
BJP,1,0,20000000,GUJARAT,Literate
IND,0,0,800000,RAJASTHAN,Graduate Professional
BJD,0,20000000,4900000,ODISHA,Post Graduate
BJP,0,0,80000000,GUJARAT,Others
BJP,1,0,1800000,UTTAR PRADESH,Literate
AITC,0,90000000,50000000,PUNJAB,8th Pass
DMK,3,180000000,1000000,TAMIL NADU,Graduate Professional
BJP,3,110000000,3800000,MAHARASHTRA,Graduate
BJP,0,110000000,0,RAJASTHAN,10th Pass
DMK,12,150000000,60000000,TAMIL NADU,Graduate Professional
JD(U),0,20000000,0,MEGHALAYA,Graduate
AAP,3,20000000,200000000,MAHARASHTRA,Graduate
BJP,0,1700000,2100000,MADHYA PRADESH,10th Pass
BJP,1,280000000,10000000,MADHYA PRADESH,Graduate Professional
AIADMK,1,30000000,2400000,TAMIL NADU,Graduate Professional
BJP,0,2600000,4100000,GUJARAT,Literate
INC,1,8400000,1100000,GOA,Graduate Professional
RJD,1,10000000,0,BIHAR,12th Pass
RJD,4,6700000,2600000,BIHAR,Post Graduate
NPP,1,340000000,1200000,PUNJAB,5th Pass
YSRCP,0,9600000,410000000,HIMACHAL PRADESH,Post Graduate
TDP,2,0,200000,BIHAR,Post Graduate
AAP,5,20000000,1400000,KERALA,Graduate Professional
BJP,0,30000000,2300000,DELHI,Post Graduate
BJP,0,8000000,3000000,TRIPURA,Graduate
BJP,1,2700000,3600000,ARUNACHAL PRADESH,10th Pass
AAP,0,9000000,0,UTTAR PRADESH,10th Pass
IND,0,0,3300000,WEST BENGAL,Post Graduate
DMK,7,20000000,4300000,CHHATTISGARH,Graduate
BJD,0,80000000,0,ODISHA,Graduate Professional
SHS,3,0,80000000,MAHARASHTRA,Graduate Professional
DMK,5,20000000,2000000,TAMIL NADU,10th Pass
BJP,0,9500000,90000000,TRIPURA,Graduate
BJP,1,5600000,0,UTTAR PRADESH,Graduate Professional
BJP,0,50000000,2500000,TRIPURA,Post Graduate
DMK,10,60000000,0,TAMIL NADU,12th Pass
INC,0,220000000,0,MADHYA PRADESH,12th Pass
YSRCP,0,210000000,3100000,PUNJAB,Post Graduate
BJP,1,1900000,3000000,UTTAR PRADESH,10th Pass
IND,0,90000000,0,NAGALAND,Graduate
BJP,0,250000000,4100000,GUJARAT,Graduate Professional
BJP,0,2300000,3500000,GOA,Post Graduate
AAP,5,20000000,1700000,PUNJAB,Graduate Professional
BJP,2,100000,1000000,MANIPUR,Post Graduate
AIADMK,3,2100000,700000,UTTAR PRADESH,Graduate Professional
SHS,3,2930000000,20000000,MAHARASHTRA,Graduate Professional
AAP,0,5600000,3500000,NAGALAND,Post Graduate
DMK,7,70000000,4300000,TAMIL NADU,Graduate
BJD,0,10000000,6900000,ODISHA,Post Graduate
BJP,7,40000000,0,UTTAR PRADESH,Doctorate
AITC,0,5600000,0,WEST BENGAL,12th Pass
INC,1,80000000,50000000,KARNATAKA,Graduate Professional
BJP,3,10000000,0,WEST BENGAL,10th Pass
INC,1,0,3200000,UTTAR PRADESH,Post Graduate
BJP,1,6600000,60000000,GUJARAT,10th Pass
AIADMK,29,2600000,1700000,UTTAR PRADESH,Graduate Professional
INC,0,6200000,2200000,ASSAM,12th Pass
AIADMK,0,130000000,1000000,TAMIL NADU,Graduate Professional
BJP,0,7100000,1400000,MAHARASHTRA,Graduate Professional
BJP,1,0,300000,TRIPURA,12th Pass
BJP,0,120000000,4100000,ANDHRA PRADESH,12th Pass
TDP,0,6800000,100000,ANDHRA PRADESH,Post Graduate
AITC,0,20000000,0,WEST BENGAL,8th Pass
BJP,0,0,4400000,NAGALAND,10th Pass
AITC,0,5600000,0,WEST BENGAL,12th Pass
CPI,1,0,800000,GUJARAT,12th Pass
BJP,0,110000000,20000000,RAJASTHAN,10th Pass
BJP,0,0,0,JHARKHAND,10th Pass
NCP,0,0,10000000,MAHARASHTRA,10th Pass
YSRCP,0,30000000,200000,WEST BENGAL,10th Pass
INC,3,210000000,40000000,KARNATAKA,Graduate Professional
YSRCP,1,280000000,2800000,UTTAR PRADESH,10th Pass
BJP,0,50000000,0,HIMACHAL PRADESH,Graduate Professional
INC,0,80000000,1700000,KARNATAKA,Post Graduate
BJP,0,40000000,260000000,GUJARAT,Others
BJP,1,20000000,10000000,GUJARAT,Others
IND,0,20000000,600000,MAHARASHTRA,Post Graduate
INC,2,0,7200000,WEST BENGAL,Post Graduate
AAP,1,10000000,0,KERALA,Graduate Professional
BJP,3,230000000,9100000,MADHYA PRADESH,Graduate Professional
JD(S),3,170000000,4400000,MAHARASHTRA,12th Pass
NCP,2,2600000,4100000,DELHI,12th Pass
YSRCP,0,300000000,3700000,ANDHRA PRADESH,Graduate
BJP,0,20000000,0,NAGALAND,Post Graduate
TDP,12,0,140000000,GOA,Post Graduate
BJP,0,20000000,0,MADHYA PRADESH,10th Pass
INC,1,3630000000,4900000,KARNATAKA,Graduate
IND,0,190000000,400000,NAGALAND,Graduate
RJD,6,80000000,0,BIHAR,12th Pass
BJP,0,50000000,0,UTTAR PRADESH,Graduate Professional
BJP,0,680000000,0,MANIPUR,10th Pass
BJP,0,120000000,4100000,UTTAR PRADESH,Graduate Professional
YSRCP,0,130000000,9300000,ASSAM,Graduate
BJP,0,20000000,0,MADHYA PRADESH,Graduate
AAP,1,0,200000,DELHI,Graduate
Tipra Motha Party,5,2600000,1800000,GOA,Graduate Professional
INC,0,0,1500000,RAJASTHAN,Graduate Professional
INC,0,80000000,2000000,ODISHA,Graduate Professional
INC,1,0,3000000,MAHARASHTRA,10th Pass
INC,0,490000000,1900000,ASSAM,Post Graduate
BJP,0,20000000,600000,RAJASTHAN,Post Graduate
JD(S),0,90000000,0,PUNJAB,Graduate Professional
NCP,6,0,10000000,MAHARASHTRA,12th Pass
AITC,3,20000000,0,WEST BENGAL,10th Pass
DMK,43,370000000,30000000,TAMIL NADU,Post Graduate
BJP,8,5300000,6000000,MADHYA PRADESH,Graduate Professional
NCP,0,8900000,4900000,SIKKIM,Graduate
BJP,4,3600000,39000,MADHYA PRADESH,Graduate Professional
BJP,0,120000000,1700000,RAJASTHAN,5th Pass
BJP,1,70000000,5100000,MANIPUR,Graduate Professional
BJP,0,9000000,4100000,ANDHRA PRADESH,10th Pass
AAP,0,40000000,0,MANIPUR,Post Graduate
BJP,7,3900000,50000,MADHYA PRADESH,12th Pass
BJP,0,60000000,4400000,GUJARAT,Post Graduate
CPI,0,0,80000000,PUNJAB,12th Pass
BJP,1,110000000,33000,KARNATAKA,Graduate
AAP,1,0,30000000,MAHARASHTRA,10th Pass
BJP,18,1800000,1500000,MAHARASHTRA,10th Pass
RJD,4,9500000,4100000,BIHAR,Graduate
DMK,12,50000000,7400000,TAMIL NADU,8th Pass
AAP,5,0,2200000,DELHI,Post Graduate
INC,0,20000000,2700000,RAJASTHAN,Graduate Professional
BJP,3,20000000,1900000,BIHAR,Graduate
AAP,0,20000000,0,ASSAM,10th Pass
YSRCP,0,1400000,5600000,ANDHRA PRADESH,Graduate
BJP,9,210000000,4000000,DELHI,Graduate
INC,1,9400000,400000,KARNATAKA,12th Pass
NPP,6,20000000,0,BIHAR,12th Pass
BJP,3,210000000,30000000,MAHARASHTRA,10th Pass
BJP,1,1590000000,5700000,KARNATAKA,Graduate
SHS,3,140000000,10000000,MAHARASHTRA,10th Pass
BJP,0,40000000,1600000,HARYANA,Graduate
BJP,1,640000000,0,TRIPURA,Post Graduate
BJP,0,1410000000,20000000,UTTAR PRADESH,Graduate
BJD,0,10000000,0,ODISHA,Post Graduate
YSRCP,1,110000000,2900000,MADHYA PRADESH,12th Pass
SHS,3,230000000,30000000,MAHARASHTRA,Graduate Professional
IND,0,3700000,80000,PUDUCHERRY,Graduate Professional
IND,0,10000000,0,NAGALAND,12th Pass
DMK,26,140000000,20000000,TAMIL NADU,Graduate
DMK,9,10000000,2000000,TAMIL NADU,Graduate Professional
BJP,0,40000000,82000,UTTAR PRADESH,Post Graduate
AITC,4,0,0,WEST BENGAL,12th Pass
CPI(M),1,20000000,5000,KERALA,Graduate Professional
AAP,1,330000000,3500000,KARNATAKA,10th Pass
AAP,1,30000000,400000,PUNJAB,12th Pass
YSRCP,4,20000000,2700000,KARNATAKA,12th Pass
NCP,0,20000000,0,BIHAR,Doctorate
BJP,7,400000,6900000,MADHYA PRADESH,Graduate Professional
NPP,1,20000000,0,NAGALAND,Post Graduate
AAP,0,20000000,0,KARNATAKA,Graduate Professional
BJP,0,3700000,140000000,GOA,Graduate Professional
DMK,16,20000000,800000,TAMIL NADU,Graduate Professional
SP,2,0,100000,MAHARASHTRA,Graduate Professional
BJP,1,0,300000,UTTAR PRADESH,10th Pass
BJD,1,20000000,300000,ODISHA,Post Graduate
BJP,1,20000000,9100000,UTTAR PRADESH,10th Pass
BJP,8,700000000,120000000,MANIPUR,Doctorate
DMK,14,150000000,40000000,TAMIL NADU,Graduate Professional
AITC,2,0,0,WEST BENGAL,12th Pass
AITC,0,10000000,300000,PUNJAB,10th Pass
AAP,29,1600000,410000000,TRIPURA,Graduate
BJP,0,0,2200000,ASSAM,Graduate Professional
SP,0,80000000,500000,MADHYA PRADESH,Graduate Professional
AITC,1,900000,0,BIHAR,8th Pass
BJD,0,20000000,1300000,ODISHA,Post Graduate
SP,1,110000000,0,UTTAR PRADESH,Post Graduate
BJD,0,0,0,ODISHA,Post Graduate
BJD,1,20000000,200000,ODISHA,Graduate Professional
BJP,0,210000000,0,CHHATTISGARH,10th Pass
BJP,0,0,3300000,KARNATAKA,Graduate
YSRCP,3,120000000,700000,GUJARAT,Graduate
BJP,0,40000000,300000,BIHAR,Doctorate
BJD,11,20000000,2100000,KERALA,Graduate
AAP,0,20000000,0,MANIPUR,10th Pass
DMK,6,60000000,70000000,TAMIL NADU,8th Pass
BJP,0,3120000000,100000000,MADHYA PRADESH,Graduate
BJP,0,90000000,60000000,CHHATTISGARH,10th Pass
NPP,0,10000000,0,ODISHA,10th Pass
AAP,0,40000000,0,BIHAR,Doctorate
DMK,10,70000000,1000000,TAMIL NADU,8th Pass
TDP,8,6400000,0,UTTAR PRADESH,12th Pass
AITC,2,20000000,0,WEST BENGAL,Post Graduate
YSRCP,8,280000000,6900000,ANDHRA PRADESH,Graduate Professional
BJP,1,8600000,140000000,UTTAR PRADESH,Post Graduate
BJP,0,30000000,3000000,UTTAR PRADESH,Post Graduate
YSRCP,13,0,20000000,TAMIL NADU,Post Graduate
AAP,2,1890000000,2000000,UTTAR PRADESH,Post Graduate
INC,0,6700000,40000000,KARNATAKA,Graduate Professional
BJP,3,20000000,7000000,GUJARAT,Graduate Professional
SHS,3,270000000,20000000,MAHARASHTRA,Graduate
BJP,0,50000000,800000,MADHYA PRADESH,Graduate Professional
AAP,0,70000000,0,HIMACHAL PRADESH,Post Graduate
IND,1,40000000,5300000,CHHATTISGARH,Graduate
BJP,0,0,1100000,PUNJAB,12th Pass
DMK,23,2300000,900000,TAMIL NADU,10th Pass
AAP,5,180000000,700000,PUDUCHERRY,Graduate
BJP,0,9200000,2100000,BIHAR,10th Pass
AIADMK,5,20000000,20000000,TAMIL NADU,Post Graduate
SP,0,90000000,8900000,RAJASTHAN,10th Pass
BJP,0,8800000,9300000,CHHATTISGARH,Graduate
JD(U),1,50000000,7400000,JHARKHAND,Post Graduate
INC,0,1200000,3900000,CHHATTISGARH,10th Pass
DMK,30,100000000,900000,TAMIL NADU,Graduate Professional
BJP,4,180000000,200000,BIHAR,Graduate
BJP,0,0,1200000,GUJARAT,Doctorate
INC,1,2900000,40000000,KARNATAKA,Graduate Professional
BJP,0,8400000,7500000,ARUNACHAL PRADESH,Graduate
BJP,0,1100000,7600000,JHARKHAND,Post Graduate
